run_id,category,report,task,agent_group,agent_id,model,effort,rounds,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,passed,checks,success_rate,cost_usd,usage_available,usage_source,round_usage_total_tokens,round_usage_checked,aggregate_snapshot_usage_rounds,excluded_duplicate_usage_rounds,reported_total_tokens,reported_cost_usd,source_path
abs-stepped-slices-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,abs-stepped-slices,codex-cli,codex-cli-gpt5.6-sol-medium,gpt-5.6-sol,medium,32,2921252,2736128,11806,2058,2933058,1,1,1.0,2.647864,True,task-report.source,2933058,True,0,0,2933058,2.647864,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\abs-stepped-slices\codex-cli\abs-stepped-slices-codex-cli-run-01\metadata\contracts\harness-report.json
abs-stepped-slices-tura-balanced-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,abs-stepped-slices,tura-balanced,tura-balanced-gpt5.6-sol-high,gpt-5.6-sol,high,30,2205655,2066944,32846,10425,2238501,1,1,1.0,2.712407,True,task-report.source,2238501,True,0,0,2238501,2.712407,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\abs-stepped-slices\tura-balanced\abs-stepped-slices-tura-balanced-run-01\metadata\contracts\harness-report.json
abs-stepped-slices-tura-direct-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,abs-stepped-slices,tura-direct,tura-direct-gpt5.6-sol-high,gpt-5.6-sol,high,13,644599,573184,15191,4194,659790,1,1,1.0,1.099397,True,task-report.source,659790,True,0,0,659790,1.099397,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\abs-stepped-slices\tura-direct\abs-stepped-slices-tura-direct-run-01\metadata\contracts\harness-report.json
actionlint-action-pinning-lint-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,actionlint-action-pinning-lint,codex-cli,codex-cli-gpt5.6-sol-medium,gpt-5.6-sol,medium,47,4676630,4464000,17664,2954,4694294,1,1,1.0,3.82507,True,task-report.source,4694294,True,0,0,4694294,3.82507,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\actionlint-action-pinning-lint\codex-cli\actionlint-action-pinning-lint-codex-cli-run-01\metadata\contracts\harness-report.json
actionlint-action-pinning-lint-tura-balanced-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,actionlint-action-pinning-lint,tura-balanced,tura-balanced-gpt5.6-sol-high,gpt-5.6-sol,high,29,3203466,3057408,34226,8643,3237692,1,1,1.0,3.285774,True,task-report.source,3237692,True,0,0,3237692,3.285774,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\actionlint-action-pinning-lint\tura-balanced\actionlint-action-pinning-lint-tura-balanced-run-01\metadata\contracts\harness-report.json
actionlint-action-pinning-lint-tura-direct-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,actionlint-action-pinning-lint,tura-direct,tura-direct-gpt5.6-sol-high,gpt-5.6-sol,high,14,1124432,1009152,17379,4459,1141811,1,1,1.0,1.602346,True,task-report.source,1141811,True,0,0,1141811,1.602346,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\actionlint-action-pinning-lint\tura-direct\actionlint-action-pinning-lint-tura-direct-run-01\metadata\contracts\harness-report.json
awilix-async-container-initialization-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,awilix-async-container-initialization,codex-cli,codex-cli-gpt5.6-sol-medium,gpt-5.6-sol,medium,51,5095149,4884352,18918,4702,5114067,0,1,0.0,4.063701,True,task-report.source,5114067,True,0,0,5114067,4.063701,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\awilix-async-container-initialization\codex-cli\awilix-async-container-initialization-codex-cli-run-01\metadata\contracts\harness-report.json
awilix-async-container-initialization-tura-balanced-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,awilix-async-container-initialization,tura-balanced,tura-balanced-gpt5.6-sol-high,gpt-5.6-sol,high,32,2950255,2795520,33094,12703,2983349,0,1,0.0,3.164255,True,task-report.source,2983349,True,0,0,2983349,3.164255,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\awilix-async-container-initialization\tura-balanced\awilix-async-container-initialization-tura-balanced-run-01\metadata\contracts\harness-report.json
awilix-async-container-initialization-tura-direct-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,awilix-async-container-initialization,tura-direct,tura-direct-gpt5.6-sol-high,gpt-5.6-sol,high,13,876404,775936,18093,9007,894497,0,1,0.0,1.433098,True,task-report.source,894497,True,0,0,894497,1.433098,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\awilix-async-container-initialization\tura-direct\awilix-async-container-initialization-tura-direct-run-01\metadata\contracts\harness-report.json
bandit-incremental-cache-control-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,bandit-incremental-cache-control,codex-cli,codex-cli-gpt5.6-sol-medium,gpt-5.6-sol,medium,52,5450042,5225984,15783,3097,5465825,0,1,0.0,4.206772,True,task-report.source,5465825,True,0,0,5465825,4.206772,C:\Users\liuliu\Documents\tura-benchmark\results\debug\report-deepswe-v1.1-gpt56-sol-local-r01\bandit-incremental-cache-control\codex-cli\bandit-incremental-cache-control-codex-cli-run-01\metadata\contracts\harness-report.json
